ISBN;Book_Title;Book_Author;Publication_Year;Publisher
0140258345;after rain;william trevor;1997;penguin books
0140435387;jude the obscure (penguin classics);thomas hardy;1998;penguin books
0140282777;big fish: a novel of mythic proportions;daniel wallace;1999;penguin books
0140296409;disgrace;j. m. coetzee;2000;penguin books
0140282033;chocolat;joanne harris;2000;penguin books
0140437886;man and superman: a comedy and a philosophy (penguin classics);bernard shaw;2001;penguin books
0142000663;the grapes of wrath: john steinbeck centennial edition (1902-2002);john steinbeck;2002;penguin books
0141439726;bleak house (penguin classics);charles dickens;2003;penguin books
0142001740;the secret life of bees;sue monk kidd;2003;penguin books
8570070063;a corrente de trewis scott;roberto schneider;1985;n??rdica
1879639815;motivating students who don't care: successful techniques for educators;allen n. mendler;2001;national educational service
0871318415;living in space: a handbook for work &amp; exploration beyond the earth's atmosphere;g. harry stine;"1997;natl book network"
1557507651;the shipping revolution: the modern merchant ship;robert gardiner;1992;naval inst pr
0517584921;manhattan nocturne: a novel;colin harrison;1996;crown publishers
8529300165;new business: a chave do neg??cio em propaganda;jens olesen;1993;cultura editores associados
0743477081;forever and always;jude deveraux;2003;pocket books
0671793489;all around the town;mary higgins clark;1993;pocket star
0671002538;mexican hat (kevin kerney novels (paperback));michael mcgarrity;1998;pocket star
0671027573;mr. perfect;linda howard;2001;pocket star
0743456238;a midsummer night's scream : hamlet ii;david bergantino;2003;pocket star
0743480716;underworld : book 1;greg cox;2003;pocket star
0486290301;the metamorphosis and other stories (dover thrift editions);franz kafka;1996;dover publications
0060256656;the giving tree;shel silverstein;1964;harpercollins publishers
8585622032;bola da vez: romance policial (cole????o romance policial brasileiro);muniz sodr??;1993;notrya editora
185326007x;women in love (wordsworth classics);d. h. lawrence;1997;ntc/contemporary publishing company
0440217490;a dangerous fortune;ken follett;1994;island
0440222826;the mercy rule;john t. lescroart;1999;island
0440225817;acts of malice;perri o'shaughnessy;2000;island
044023719x;the triumph of katie byrne;barbara taylor bradford;2001;island
0449217426;rainbow in the mist;phyllis a. whitney;1990;ivy books
0804105537;storming intrepid;payne harrison;1993;ivy books
0449208885;the road to paradise island;victoria holt;1993;ivy books
044921625x;feather on the moon;phyllis a. whitney;1994;ivy books
0449000613;rose cottage;mary stewart;1998;ivy books
1853260304;a midsummer night's dream (wordsworth collection);william shakespeare;1998;ntc/contemporary publishing company
1853262986;two gentlemen of verona (wordsworth collection);william shakespeare;1998;ntc/contemporary publishing company
2877304892;je vous ????cris;inoue hisashi;2000;philippe picquier
0312140940;wonder boys : a novel (bestselling backlist);michael chabon;1995;picador
0312119259;i killed hemingway : a novel;william henderson;1995;picador
0330375253;bridget jones's diary;helen fielding;2001;picador
0446610801;the ill-made mute (the bitterbyndebook 1);cecilia dart-thornton;2002;aspect
0671755056;shampoo planet;douglas coupland;1992;atria
0971904774;songbook;nick hornby;2002;mcsweeneys books
0553180851;private eyes;jonathan kellerman;1992;bantam books
0553563521;devil's waltz (alex delaware novels (paperback));jonathan kellerman;1993;bantam books
0553560441;the road to omaha;robert ludlum;1993;bantam books
0553565370;scandal in fair haven;carolyn g. hart;1995;bantam books
0553572423;the fist of god;frederick forsyth;1995;bantam books
0553572202;self-defense (alex delaware novels (paperback));jonathan kellerman;1995;bantam books
0553564978;venus envy;rita mae brown;1996;bantam books
0553569910;the ugly duckling;iris johansen;1997;bantam books
0553060996;las piadosas;federico andahazi;1999;bantam books
055357230x;the clinic (alex delaware novels (paperback));jonathan kellerman;1999;bantam books
0553800949;final target;iris johansen;2001;bantam books
0553574973;the depths of time;roger macbride allen;2001;bantam books
033030819x;the roswell legacy;frances patten;1989;pan macmillan
0449219461;h is for homicide (kinsey millhone mysteries (paperback));sue grafton;1993;fawcett books
0449149005;a deceptive clarity;aaron j. elkins;1994;fawcett books
0449221512;i is for innocent;sue grafton;1994;fawcett books
0449908488;the silent cry (william monk novels (hardcover));anne perry;1997;fawcett books
0804116571;malice in the highlands (erskine powell mysteries);graham thomas;1998;fawcett books
0345418840;the puzzled heart (kate fansler novels (paperback));amanda cross;1999;fawcett books
0449221482;j is for judgment;sue grafton;1999;fawcett books
0449221504;k is for killer (kinsey millhone mysteries (paperback));sue grafton;1999;fawcett books
0449223612;n is for noose;sue grafton;1999;fawcett books
0273631667;frontiers of fortune: predicting capital prospects and casualties in the markets of the future;jonathan story;1999;financial times prentice hall
0590483692;soccer game! (hello reader! (do not useplease choose level and binding));grace maccarone;1994;scholastic
1569715025;lone wolf and cub 1: the assasin's road;kazuo koike;2000;dark horse comics
0969000103;sadat's strategy (history in the making);paul eidelberg;1979;dawn
1563898780;9-11: september 112001 (stories to remembervolume 2);neil gaiman;2002;dc comics
1563898810;9-11: september 11th2001 (stories to remembervolume 1);will eisner;2002;dc comics
1401200893;endless nights (the sandmanbook 11);neil gaiman;2003;dc comics
3423124776;radetzkymarsch.;joseph roth;1998;dtv
0525934251;bastard out of carolina;dorothy allison;1992;dutton books
2246615011;baudolino;umberto eco;2002;grasset
156245028x;cheatnotes on life: lessons from the classroom of life;donna blaurock;1994;great quotations
8525404373;com??dias da vida privada: 101 cr??nicas escolhidas;lu??s fernando ver??ssimo;1994;"l&amp;pm editores"
8525404683;dicion??rio do viajante ins??lito;moacyr scliar;1995;"l&amp;pm editores"
1410764273;by the white book: a far angelus novel;r. a. bragg;2003;authorhouse
0679877894;my so-called life;catherine clark;1995;bull's eye publishing
0671551728;duplicate keys;jane smiley;1985;pocket
0671636715;deceptions;judith michael;1987;pocket
0671648780;texasville       x;larry mcmurtry;1987;pocket
0671644459;awakening;jude deveraux;1988;pocket
0671643363;marriage murder;nancy pickard;1988;pocket
2266023039;la nuit des temps;ren???? barjavel;1988;pocket
0671645307;then hang all the liars;sarah shankman;1989;pocket
0671679155;almost heaven;judith mcnaught;1990;pocket
0671724126;anastasia syndrome (export);mary higgins clark;1990;pocket
2253038040;la maison aux esprits;isabel allende;0;livre de poche french
0061099015;the great and secret show;clive barker;1990;harpercollins publishers
0586213333;indigo 1: nemesis (indigo series);louise cooper;1991;harpercollins publishers
0060187115;chocolate: from simple cookies to extravagant showstoppers;nick malgieri;1998;harpercollins publishers
0864426224;lonely planet paris (paris2nd ed);daniel robinson;1998;lonely planet
0582797462;in touch student book 2;oscar &amp; kimbroughvictoria castro;"1980;longman group united kingdom"
0582797489;in touch workbook 2;oscar &amp; kimbroughvictoria castro;"1980;longman group united kingdom"
0582537312;round the world in eighty days;jules verne;1987;longman group united kingdom
058279742x;in touchstudent book 1;oscar castro;1998;longman publishing group
0743442539;the spy who came in from the cold;john le carre;2001;scribner
0684825309;salt dancers;ursula hegi;1996;scribner paper fiction
9681903900;el ano de la muerte de ricardo reis (alfaguara);jose saramago;1999;santillana pub co
8503004097;as fant??sticas aventuras do maitairoa: odiss??ia brasileira no atl??ntico sul (ventos &amp; aventuras);roberto mesquita barros;"1991;j. olympio editora"
8503003414;menino de engenho;jos?? lins do r??go;1992;j. olympio editora
8503004798;tempo de contar;joel silveira;1993;j. olympio editora
2290302155;debout les morts;fred vargas;2000;j'ai lu
0451519841;1984;george orwell;1980;new amer library
0671892479;step-by-step tai chi;master lam kam-chuen;1994;fireside
0345325818;the silmarillion;j.r.r. tolkien;1985;del rey
0345342968;fahrenheit 451;ray bradbury;1987;del rey
0345330315;naked sun;isaac asimov;1985;del rey books
0345325850;up the line;robert silverberg;1985;del rey books
0345347951;childhood's end;arthur c. clarke;1987;del rey books
0345298705;shakespeare's planet;clifford d. simak;1987;del rey books
0345345061;the tolkien reader;j. r. r. tolkien;1989;del rey books
0345350472;blade runner: (do androids dream of electric sheep);philip k. dick;1990;del rey books
0345344448;martian time slip;philip k. dick;1991;del rey books
0345423496;3001: the final odyssey;arthur c. clarke;1998;del rey books
0345419685;the fabulous riverboat (riverworld sagabook 2);philip jose farmer;1998;del rey books
0684867672;the five minute iliad other instant classics : great books for the short attention span;greg nagan;2000;fireside
3596154766;silberfaden.;ricarda junge;2002;fischer (tb.)frankfurt
2221066456;le d??sir d'??tre inutile: souvenirs et r??flexions (collection v??cu);hugo pratt;1991;r. laffont
0553351397;peace is every step: the path of mindfulness in everyday life;thich nhat hahn;1992;random house
0380013924;satanic rituals;anton la vey;1976;avon
0380751925;the necronomicon;simon;1980;avon
0380569523;city primeval  co;elmore leonard;1982;avon
0380012057;gabrielaclove and cinnamon;jorge amado;1982;avon
0380701340;creed for the third millennium;colleen mccullough;1986;avon
0380713608;a morning for flamingos;james l. burke;1991;avon
0380713284;the body in the belfry: a faith fairchild mystery;katherine hall page;1991;avon
0380713292;the body in the kelp: a faith fairchild mystery;katherine hall page;1992;avon
0380717018;body of evidence (kay scarpetta mysteries (paperback));patricia d. cornwell;1992;avon
0380720477;a stained white radiance;james lee burke;1993;avon
0380718332;all that remains (kay scarpetta mysteries (paperback));patricia d. cornwell;1993;avon
0380767600;lover in the rough;elizabeth lowell;1994;avon
0380718340;cruel &amp; unusual (kay scarpetta mysteries (paperback));patricia d. cornwell;"1994;avon"
0380788756;baltimore blues (tess monaghan mysteries (paperback));laura lippman;1997;avon
0380790025;death in lovers' lane (henrie o mysteries (paperback));carolyn hart;1998;avon
0380798468;butchers hill (tess monaghan mysteries (paperback));laura lippman;1998;avon
0380790033;death in paradise (henrie o mysteries (paperback));carolyn hart;1999;avon
0380732661;the ritual bath (peter decker &amp; rina lazarus novels (paperback));faye kellerman;"1999;avon"
0380811987;rules of engagement (governess bridesbook 2);christina dodd;2000;avon
0380810220;the sugar house: a tess monaghan mystery;laura lippman;2001;avon
0060808799;silence observed;michael innes;1988;perennial
0060806729;one man show;michael innes;1991;perennial
1853267805;the origin of species;charles darwin;1999;ntc/contemporary publishing company
8573022159;xadreztruco e outras guerras (plenos pecados);jos?? roberto torero;1998;objetiva
8573022744;hist??rias brasileiras de ver??o (vide verissimo);lu??s fernando ver??ssimo;1999;objetiva
857302335x;o dem??nio e a srta. prym;paulo coelho;2000;objetiva
8506000130;o menino maluquinho;ziraldo;1988;melhoramentos
0060011572;animal liberation;peter singer;2001;ecco
0521563305;the largethe small and the human mind;roger penrose;1997;cambridge university press
0521467071;the cambridge companion to liberation theology (cambridge companions to religion);christopher rowland;1999;cambridge university press
1841952753;happiness;will ferguson;2002;canongate books
0553227041;sisterhood;michael palmer;0;bantam doubleday dell
0440166462;osterman weekend;robert ludlum;0;bantam doubleday dell
0553137492;black holes and warped spacetime;william kaufmann;0;bantam doubleday dell
0553229281;majipoor chronicles 3;robert silverberg;1983;bantam doubleday dell
0451404300;the dividing line (joshua rabb novels);richard parrish;1994;onyx books
0451410556;the blue last: a richard jury mystery (richard jury mysteries (paperback));martha grimes;2002;onyx books
0060928336;divine secrets of the ya-ya sisterhood: a novel;rebecca wells;1997;perennial
0060929871;brave new world;aldous huxley;1998;perennial
0060953500;reinventing comics : how imagination and technology are revolutionizing an art form;scott mccloud;2000;perennial
0060928832;from dawn to decadence : 500 years of western cultural life 1500 to the present;jacques barzun;2001;perennial
0060934700;smoke and mirrors: short fictions and illusions;neil gaiman;2001;perennial
0060955775;veronika decides to die;paulo coelho;2001;perennial
0802135161;oranges are not the only fruit;jeanette winterson;1997;grove press
0380813815;lamb : the gospel according to biffchrist's childhood pal;christopher moore;2003;perennial
0140077413;the ransom game (penguin crime fiction);howard engel;1985;penguin books ltd
014017186x;dracula;bram stoker;1992;penguin books ltd
0140621083;agnes grey (penguin popular classics);anne bronte;1994;penguin books ltd
0140620990;the christmas books (penguin popular classics);charles dickens;1994;penguin books ltd
0140620125;wuthering heights (penguin popular classics);emily bronte;1994;penguin books ltd
0140620842;gulliver's travels (penguin popular classics);jonathan swift;1994;penguin books ltd
0140621393;journey to the centre of the earth (penguin popular classics);jules verne;1994;penguin books ltd
0140621237;kings solomon's mines (penguin popular classics);r. haggard;1994;penguin books ltd
0140621288;fables (penguin popular classics);aesop;1996;penguin books ltd
0140622306;a portrait of the artist as a young man (penguin popular classics);james joyce;1996;penguin books ltd
0140622063;scottish folk and fairy tales (penguin popular classics);gordon jarvie;1997;penguin books ltd
0141182458;dubliners (penguin modern classics);james joyce;2000;penguin books ltd
0140293442;fever pitch;nick hornby;2000;penguin books ltd
0140295569;high fidelity;nick hornby;2001;penguin books ltd
0140623035;candide (penguin popular classics);voltaire;2001;penguin books ltd
0140285679;about a boy;nick hornby;2002;penguin books ltd
0140622454;a woman of no importance (penguin popular classics);oscar wilde;2005;penguin books ltd
0003701387;airport international: level 4 - intermediate (nelson readers);brian moynahan;1982;penguin longman publishing
0582275105;more tales from shakespeare (longman fiction);charles lamb;1996;penguin longman publishing
0141000198;bridget jones's diary;helen fielding;2001;penguin putnam
0140620206;tess of the durbervilles;hardy;0;penguin putnam~mass
0140028420;millstone;margaret drabble;0;penguin putnam~mass
0375500510;black and blue : a novel;anna quindlen;1998;random house
0676974562;atonement;ian mcewan;2002;random house
0450547434;creed;james herbert;1996;"hodder &amp; stoughton general division"
0451526341;animal farm;george orwell;2004;signet
0451166396;tar baby;toni morrison;1983;signet book
0451159292;blood test;jonathan kellerman;1987;signet book
0451625773;ten great works of philosophy;robert paul wolff;1987;signet book
0451521943;ivanhoe;sir walter scott;1987;signet book
0060175532;young wives;olivia goldsmith;2000;harpercollins publishers
0061056774;the x-files: ground zero;kevin j. anderson;1996;harperentertainment
0451176723;mitigating circumstances;nancy taylor rosenberg;1993;signet book
0451180674;a bonny case of murder;c. f. roe;1994;signet book
0451180216;interest of justice;nancy taylor rosenberg;1994;signet book
0451177134;a classy touch of murder (dr. jean montrose mysteryno 3);c. f. roe;1995;signet book
0451184327;first offense;nancy taylor rosenberg;1995;signet book
0451186338;a hidden cause of murder;c.j. roe;1996;signet book
1853260916;to the lighthouse;virginia woolf;1999;"lb may &amp; assoc inc"
0440174643;roots;alex haley;1980;dell
0440129389;good motherthe;sue miller;1987;dell
0440204194;firefly summer;maeve binchy;1989;dell
0440135842;help the poor struggler;martha grimes;1990;dell
0440102804;the anodyne necklace;martha grimes;1990;dell
0440208459;burn marks (v.i. warshawski novels (paperback));sara paretsky;1991;dell
0440209986;not exactly a brahmin;susan dunlap;1991;dell
0440213320;deadlock (v.i. warshawski novels (paperback));sara paretsky;1992;dell
0440214009;treasures;belva plain;1993;dell
0440215285;killing orders;sara paretsky;1993;dell
0380804557;stardust;neil gaiman;2003;avon
0380700247;the ghostway;tony hillerman;1991;avon books
0380004259;dark fires: steve &amp; ginny book 2;rosemary rogers;"1996;avon books"
0440202043;shell seekers;rosamunde pilcher;1996;dell
044021873x;windy city blues (v.i. warshawski novels (paperback));sara paretsky;1996;dell
044021873x;windy city blues (v.i. warshawski novels (paperback));sara paretsky;1996;dell
0440223016;a long fatal love chase;louisa may alcott;1997;dell
0440234999;shakespeare's christmas : a lily bard mystery (lily bard mysteries);charlaine harris;1999;dell
0440234743;the testament;john grisham;1999;dell
0440224705;hard time (v.i. warshawski novels (paperback));sara paretsky;2000;dell
0440162467;the mysterious mr. quin;agatha christie;1982;dell pub. co
0415028256;tractatus logico-philosophicus;ludwig wittgenstein;1981;routledge
0786001674;prizzi's money;richard condon;1995;pinnacle books
8530802152;o retorno e terno--;rubem a alves;1992;papirus editora
0505520303;time heals;susan collier;1995;love spell
3596113776;tagebuch;anne frank;1998;fischer taschenbuch verlag gmbh
0006132138;rest and be thankful;helen macinnes;1973;fontana
0505523000;a cry at midnight (timeswept);victoria chancellor;1999;love spell
0590254960;a badbad day (my first hello reader);kirsten hall;1996;cartwheel books
8586821071;coitadinhos e malandr??es: flagrantes do fim de feira do brasil de fhc 1o e 2o;ricardo kotscho;1999;casa amarela
0726937339;the australian slanguage: a look at what we say and how we say it;bill hornadge;1980;cassell australia
848403447x;el caminante y su sombra;friedrich wilhelm nietzsche;1999;edimat libros
2268045757;maximes et pens????es : ????pict????te;????pict????te;2003;editions du rocher
8508029748;a pr??xima novela: um romance de imagens;carlos eduardo novaes;1988;editora atica
8508043228;o ??ltimo mam??fero do martinelli (s??rie rosa dos ventos);marcos rey;1993;editora atica
8508064624;o c??o da meia-noite: contos;marcos rey;1997;editora atica
8525008044;pau-brasil (obras completas de oswald de andrade);oswald de andrade;1990;editora globo
8535400915;secreta mirada;lya fett luft;1997;editora mandarim
8520909833;a folha dobrada: lembran??as de um estudante;goffredo da silva telles j??nior;1999;editora nova fronteira
8520912427;diario do farol: romance;jooao paulo de almeid magalhhaes;2002;editora nova fronteira
850104041x;o amor natural;carlos drummond de andrade;1992;editora record
8501045535;farewell;carlos drummond de andrade;1996;editora record
8501912700;no fim d?? certo;fernando tavares sabino;1998;editora record
8501060038;o rio de todos os brasis: uma reflex??o em busca de auto-estima (cole????o metr??poles);carlos lessa;2000;editora record
8501057703;o viajante imovel: machado de assis e o rio de janeiro de seu tempo;luciano trigo;2001;editora record
8501062669;tratado geral das grandezas do ??nfimo;manoel de barros;2001;editora record
8501067113;perdas &amp; ganhos;lya fett luft;"2003;editora record"
8570411693;pol??tica e recupera????o econ??mica em minas gerais (humanitas);ot??vio soares dulci;1999;editora ufmg
9681500830;el principito/little prince;antonie de saint;1998;editores mexicanos unidoss.a.
0810835517;world conflicts: a comprehensive guide to world strife since 1945;patrick brogan;1999;"rowman &amp; littlefield (non nbn)"
0023607807;theaetetus (macmillan/library of liberal arts);plato;1970;prentice hall
0804106304;the joy luck club;amy tan;1994;prentice hall (k-12)
2258009545;m??moires intimes;georges simenon;1981;presses de la cit??
0380698625;this little measure;sara woods;1986;harper mass market paperbacks (mm)
0156787334;a room of one's own;virginia woolf;1989;harcourt
0316779423;barrel fever : stories and essays (barrel fever);david sedaris;1995;back bay books
0316777730;naked;david sedaris;1998;back bay books
0316601950;the pilot's wife : a novel;anita shreve;1999;back bay books
0316776963;me talk pretty one day;david sedaris;2001;back bay books
067172052x;fallen angels;larry niven;1991;baen
0451180682;murder for father;martin h. greenberg;1994;new amer library (mm)
0451097874;flesh;philip jose farmer;1981;new american library
0451160525;the gunslinger (the dark towerbook 1);stephen king;1994;new american library
0451205235;cold flat junction;martha grimes;2002;new american library
0312186142;death in cyprus;mary margaret kaye;1984;st martins pr
0312852134;vanishing point;michaela roessner;1993;st martins pr
0312921098;treason;orson scott card;1990;st martins pr (mm)
0312959834;dying to fly fish: a max addams fly-fishing mystery (dead letter mysteries);david leitz;1996;st martins pr (mm)
0312199430;one thousand white women : the journals of may dodd: a novel;jim fergus;1999;st. martin's griffin
0312291639;the nanny diaries: a novel;emma mclaughlin;2003;st. martin's griffin
0312958919;death by rhubarb : when her ex-husband's new girlfriend is served a deadly dinnera dishy chef turns sleuth to save her restaurant. (a heaven lee culinary mystery);lou jane temple;1996;st. martin's paperbacks
0312965966;denial (frank clevenger);keith ablow;1998;st. martin's paperbacks
0312974248;do you promise not to tell?;mary jane clark;2000;st. martin's paperbacks
0312978383;winter solstice;rosamunde pilcher;2001;st. martin's paperbacks
0312982526;sacred ground;barbara wood;2002;st. martin's paperbacks
0312984618;black for remembrance;carlene thompson;2002;st. martin's paperbacks
0312924801;september;rosamunde pilcher;1991;st. martin's press
0312929587;undercurrents;ridley pearson;1992;st. martin's press
0312927746;flowers in the rain &amp; other stories;rosamunde pilcher;"1992;st. martin's press"
0312951426;the ice house;minette walters;1994;st. martin's press
0312951647;in the presence of enemies;william j. coughlin;1994;st. martin's press
0312955731;white shark;peter benchley;1995;st. martin's press
0312953615;the sculptress (sculptress);minette walters;1996;st. martin's press
0312958129;coming home;rosamunde pilcher;1996;st. martin's press
0312169787;the red tent : a novel;anita diamant;1997;st. martin's press
0671554271;ishmael;barbara hambly;1985;star trek
0671667351;wounded sky: star trek #13;diane duane;1988;star trek
0671701835;battlestations (st #31) (star trek (numbered paperback));diane l. carey;1989;star trek
0671702831;star trek iv the voyage home (star trek);vonda n. mcintyre;1989;star trek
0671707728;prime directive: star trek (star trek);judith reeves-stevens;1990;star trek
0671869094;shadows on the sun: star trek (star trek);michael jan friedman;1993;star trek
067151914x;caretaker (star trek voyagerno 1);l.a. graf;1995;star trek
0671013963;into the void (star trek new frontierno 2);peter david;1997;star trek
0671013971;the two front war (star trek new frontierno 3);peter david;1997;star trek
0671014633;war dragons (star trek: the captain's tablebook 1);l. a. graf;1998;star trek
067101465x;dujonian's hoard (star trek the next generation: the captain's tablebook 2);michael jan friedman;1998;star trek
2234054036;la grammaire est une chanson douce;erik orsenna;2001;stock
351818802x;suhrkamp basisbibliothek (sbb)nr.2siddhartha;hermann hesse;1998;suhrkamp
0898158699;the village baker's wife: the desserts and pastries that made gayle's famous;joe ortiz;1997;ten speed press
0786212527;bluebeard's egg (thorndike large print basic series);margaret atwood;1997;thorndike press
0971880107;wild animus;rich shapero;2004;too far
0451403754;sweet everlasting (topaz historical romances);patricia gaffney;1993;topaz
0812500601;artifact;gregory benford;1986;tor books
0812507584;trojan gold;elizabeth peters;1988;tor books
0812509145;the copenhagen connection;elizabeth peters;1990;tor books
0812550706;ender's game (ender wiggins saga (paperback));orson scott card;1994;tor books
0812550757;speaker for the dead (ender wiggins saga (paperback));orson scott card;1994;tor books
0812510992;the girl who heard dragons;anne mccaffrey;1995;tor books
0765340054;shadow puppets (enderbook 7);orson scott card;2003;tor books
0812583418;angel fire;andrew m. greeley;2004;tor books
0684825546;zorba the greek;nikos kazantzakis;1996;touchstone
0743227441;the other boleyn girl;philippa gregory;2002;touchstone
0297167626;lolita;vladimir nabokov;0;trafalgar square
0880381736;dragons of autumn twilight (dragonlance chroniclesvol 1);margaret weis;1990;tsr
046087439x;robinson crusoe: the life and strange surprising adventure (everyman's library (paper));daniel defoe;1994;tuttle publishing
0679445358;if... (questions for the game of life);evelyn mcfarlane;1995;villard books
0679720200;the stranger;albert camus;1989;vintage
0679755330;a raisin in the sun;lorraine hansberry;1994;vintage
0679746048;girlinterrupted;susanna kaysen;1994;vintage
0679758461;red-tails in love : a wildlife drama in central park;marie winn;1999;vintage
1400030382;the piano tuner : a novel;daniel mason;2003;vintage
0679724346;tao te ching [text only];laozi;1989;vintage books usa
0679722319;where i'm calling from: new and selected stories (vintage contemporaries);raymond carver;1989;vintage books usa
0679722068;death in veniceand seven other stories (vintage international);thomas mann;1989;vintage books usa
0679730753;the new gothic: a collection of contemporary gothic fiction;bradford morrow;1992;vintage books usa
067976402x;snow falling on cedars;david guterson;1995;vintage books usa
067976402x;snow falling on cedars;david guterson;1995;vintage books usa
0679772669;in the skin of a lion: a novel;michael ondaatje;1997;vintage books usa
037570504x;breatheyesmemory;edwidge danticat;1998;vintage books usa
0375718850;ash wednesday: a novel (vintage contemporaries (paperback));ethan hawke;2003;vintage books usa
1578590175;the handy space answer book (handy answer books);phillis engelbert;1998;visible ink press
0393962881;the norton anthology of english literature (norton anthology of english literature (paperback));m. h. abrams;1993;"w w norton &amp; co"
039396289x;norton anthology of english literature (norton anthology of english literature (hardcover));m. h. abrams;1993;"w w norton &amp; co"
0393312836;a clockwork orange (norton paperback fiction);anthony burgess;1986;"w. w. norton &amp; company"
0393314804;trainspotting;irvine welsh;1996;"w. w. norton &amp; company"
0393315819;ecstasy : three tales of chemical romance;irvine welsh;1996;"w. w. norton &amp; company"
0393323803;nietzsche: a philosophical biography;rudiger safranski;2003;"w. w. norton &amp; company"
0393319296;invisible monsters;chuck palahniuk;1999;"w.w. norton &amp; company"
0446327069;happy are the meek;andrew m. greeley;1985;warner books
0446310492;to kill a mockingbird;harper lee;1985;warner books
0446386898;watchmen;alan moore;1987;warner books
0445406488;the curse of the pharaohs;elizabeth peters;1988;warner books
0446340952;fletch won;gregory mcdonald;1989;warner books
0446353205;the charm school;nelson demille;1989;warner books
0446359866;presumed innocent;scott turow;1989;warner books
0446360317;st. valentine's night;andrew m. greeley;1990;warner books
0446359688;red phoenix;larry bond;1990;warner books
0445408111;not as far as velma;nicholas freeling;1990;warner books
0446360872;the fifth profession;david morrell;1991;warner books
0446359882;homeplace;dorothy garlock;1991;warner books
0446359750;devices and desires;phyllis white;1991;warner books
0446364703;decked : a regan reilly mystery;carol higgins clark;1993;warner books
0446600709;assumed identity;david morrell;1994;warner books
0446353337;the deeds of the disturber;elizabeth peters;1994;warner books
0446364622;the children of men;p.d. james;1994;warner books
0446600342;where there's smoke;sandra brown;1994;warner books
0446601241;kiss the girls;james patterson;1995;warner books
0446673544;sex &amp; the city;candace bushnell;"1997;warner books"
0446603929;see how they run;james patterson;1997;warner books
0446672211;where the heart is (oprah's book club (paperback));billie letts;1998;warner books
0446605409;plum island;nelson demille;1998;warner books
0446676098;the notebook;nicholas sparks;1999;warner books
0446609781;beneath the skin;nicci french;2001;warner books
0446610399;the rescue;nicholas sparks;2001;warner books
0446527173;genius: a mosaic of one hundred exemplary creative minds;harold bloom;2002;warner books
0446530077;find me;rosie o'donnell;2002;warner books
0446358851;blue hammer;ross macdonald;1990;warner books (mm)
0446311774;innocent blood;p. d. james;1992;warner books (mm)
0446306061;skull beneath the skin;p d james;1983;warner books> c/o little br
0446608815;pop goes the weasel;james patterson;2000;warner vision
0446610038;1st to die: a novel;james patterson;2002;warner vision
0446611212;violets are blue;james patterson;2002;warner vision
0446612790;2nd chance;james patterson;2003;warner vision
0671637924;the pianoplayers: anthony burgess;anthony burgess;1987;washington square press
0671722948;twelfth night;william shakespeare;1993;washington square press
1551108631;new mexico (the america series);tanya lloyd;1999;whitecap books
0380730774;read this and tell me what it says : stories (bard book);a. manette ansay;1998;william morrow
1590889754;shadows of the eclipse;bonnie napoli;2001;wings epressinc.
1881098184;the witches' almanacspring 2002 to spring 2003 (witches almanac2002 2003);elizabeth pepper;2002;witches almanac ltd
1560765836;before the mask (dragonlance sagavillains seriesvolume 1);michael williams;1993;wizards of the coast
0894803204;the book of questions;gregory stock;1987;workman publishing
0761121323;what to expect when you're expectingthird edition;heidi e. murkoff;2002;workman publishing
0595256368;rhaeva;linda moore;2003;writer's showcase press
1401039081;killer asylum;david r. williams;2002;xlibris corporation
0440442508;johnny tremain (yearling newbery);esther forbes;1987;yearling books
1567231608;the city &amp; the stars;arthur c. clarke;"1999;yestermorrow inc"
1883601126;the linux bible;matt welsh;1996;yggdrasil computing inc
0821730630;murder on the glitter box;steve allen;1990;zebra books
0821733702;the dead of autumn;h.p. dunne;1991;zebra books
0821738437;capture my heart;bobbi smith;1992;zebra books
0821742833;promises;katherine stone;1993;zebra books
